chunk_index,start_sample,stage,stage_ms,chunk_total_ms
12,5472000,tail_pipeline,1269.043792,7732.589540999999
13,5928000,first_2_segments,1103.625917,7914.337792
13,5928000,roformer_layer_pairs_2_3,1041.602792,7914.337792
13,5928000,roformer_layer_pairs_4_5,1126.325125,7914.337792
13,5928000,roformer_layer_pairs_6_7,1122.233208,7914.337792
13,5928000,roformer_layer_pairs_8_9,1124.400708,7914.337792
13,5928000,roformer_layer_pairs_10_11,1121.277792,7914.337792
13,5928000,tail_pipeline,1274.87225,7914.337792
14,6384000,first_2_segments,1120.606542,7968.415917
14,6384000,roformer_layer_pairs_2_3,1117.87575,7968.415917
14,6384000,roformer_layer_pairs_4_5,1074.14825,7968.415917
14,6384000,roformer_layer_pairs_6_7,1123.170542,7968.415917
14,6384000,roformer_layer_pairs_8_9,1120.662417,7968.415917
14,6384000,roformer_layer_pairs_10_11,1121.739208,7968.415917
14,6384000,tail_pipeline,1290.213208,7968.415917
15,6840000,first_2_segments,1043.814291,7857.728666
15,6840000,roformer_layer_pairs_2_3,1041.171708,7857.728666
15,6840000,roformer_layer_pairs_4_5,1123.344917,7857.728666
15,6840000,roformer_layer_pairs_6_7,1119.609667,7857.728666
15,6840000,roformer_layer_pairs_8_9,1122.704625,7857.728666
15,6840000,roformer_layer_pairs_10_11,1121.699667,7857.728666
15,6840000,tail_pipeline,1285.383791,7857.728666
16,7296000,first_2_segments,1145.606209,8155.678959000001
16,7296000,roformer_layer_pairs_2_3,1124.784959,8155.678959000001
16,7296000,roformer_layer_pairs_4_5,1120.617083,8155.678959000001
16,7296000,roformer_layer_pairs_6_7,1137.656,8155.678959000001
16,7296000,roformer_layer_pairs_8_9,1130.498125,8155.678959000001
16,7296000,roformer_layer_pairs_10_11,1135.935916,8155.678959000001
16,7296000,tail_pipeline,1360.580667,8155.678959000001
17,7752000,first_2_segments,1332.933333,8275.971833
17,7752000,roformer_layer_pairs_2_3,1117.116833,8275.971833
17,7752000,roformer_layer_pairs_4_5,1131.08225,8275.971833
17,7752000,roformer_layer_pairs_6_7,1120.530208,8275.971833
17,7752000,roformer_layer_pairs_8_9,1171.718542,8275.971833
17,7752000,roformer_layer_pairs_10_11,1124.352917,8275.971833
17,7752000,tail_pipeline,1278.23775,8275.971833
18,8208000,first_2_segments,1250.030834,8273.999208000001
18,8208000,roformer_layer_pairs_2_3,1118.315791,8273.999208000001
18,8208000,roformer_layer_pairs_4_5,1123.683458,8273.999208000001
18,8208000,roformer_layer_pairs_6_7,1125.356542,8273.999208000001
18,8208000,roformer_layer_pairs_8_9,1280.510333,8273.999208000001
18,8208000,roformer_layer_pairs_10_11,1120.263458,8273.999208000001
18,8208000,tail_pipeline,1255.838792,8273.999208000001
19,8664000,first_2_segments,1125.071916,8183.157542
19,8664000,roformer_layer_pairs_2_3,1118.475084,8183.157542
19,8664000,roformer_layer_pairs_4_5,1120.687458,8183.157542
19,8664000,roformer_layer_pairs_6_7,1121.889458,8183.157542
19,8664000,roformer_layer_pairs_8_9,1303.891625,8183.157542
19,8664000,roformer_layer_pairs_10_11,1124.712709,8183.157542
19,8664000,tail_pipeline,1268.429292,8183.157542
20,9120000,first_2_segments,1140.230958,8165.566915
20,9120000,roformer_layer_pairs_2_3,1120.402916,8165.566915
20,9120000,roformer_layer_pairs_4_5,1136.604,8165.566915
20,9120000,roformer_layer_pairs_6_7,1134.082916,8165.566915
20,9120000,roformer_layer_pairs_8_9,1193.061583,8165.566915
20,9120000,roformer_layer_pairs_10_11,1134.5,8165.566915
20,9120000,tail_pipeline,1306.684542,8165.566915
21,9576000,first_2_segments,1123.957667,8439.605584
21,9576000,roformer_layer_pairs_2_3,1207.696625,8439.605584
21,9576000,roformer_layer_pairs_4_5,1147.509667,8439.605584
21,9576000,roformer_layer_pairs_6_7,1162.557333,8439.605584
21,9576000,roformer_layer_pairs_8_9,1175.480708,8439.605584
21,9576000,roformer_layer_pairs_10_11,1158.976917,8439.605584
21,9576000,tail_pipeline,1463.426667,8439.605584
22,10032000,first_2_segments,1124.855917,8808.921584
22,10032000,roformer_layer_pairs_2_3,1182.853,8808.921584
22,10032000,roformer_layer_pairs_4_5,1200.280792,8808.921584
22,10032000,roformer_layer_pairs_6_7,1184.454875,8808.921584
22,10032000,roformer_layer_pairs_8_9,1184.332667,8808.921584
22,10032000,roformer_layer_pairs_10_11,1192.6295,8808.921584
22,10032000,tail_pipeline,1739.514833,8808.921584
23,10488000,first_2_segments,1124.333875,9403.164541999999
23,10488000,roformer_layer_pairs_2_3,1171.728125,9403.164541999999
23,10488000,roformer_layer_pairs_4_5,1184.455959,9403.164541999999
23,10488000,roformer_layer_pairs_6_7,1184.823458,9403.164541999999
23,10488000,roformer_layer_pairs_8_9,1243.698458,9403.164541999999
23,10488000,roformer_layer_pairs_10_11,1182.103,9403.164541999999
23,10488000,tail_pipeline,2312.021667,9403.164541999999
24,10944000,first_2_segments,1489.00875,10548.553083
24,10944000,roformer_layer_pairs_2_3,1430.6275,10548.553083
24,10944000,roformer_layer_pairs_4_5,1380.32075,10548.553083
24,10944000,roformer_layer_pairs_6_7,1392.065917,10548.553083
24,10944000,roformer_layer_pairs_8_9,1382.019083,10548.553083
24,10944000,roformer_layer_pairs_10_11,1401.527708,10548.553083
24,10944000,tail_pipeline,2072.983375,10548.553083
25,11400000,first_2_segments,1418.93925,10354.848667
25,11400000,roformer_layer_pairs_2_3,1410.802333,10354.848667
25,11400000,roformer_layer_pairs_4_5,1367.511417,10354.848667
25,11400000,roformer_layer_pairs_6_7,1390.146084,10354.848667
25,11400000,roformer_layer_pairs_8_9,1377.554625,10354.848667
25,11400000,roformer_layer_pairs_10_11,1380.842833,10354.848667
25,11400000,tail_pipeline,2009.052125,10354.848667
26,11856000,first_2_segments,1404.618333,10460.015251
26,11856000,roformer_layer_pairs_2_3,1409.675584,10460.015251
26,11856000,roformer_layer_pairs_4_5,1410.711125,10460.015251
26,11856000,roformer_layer_pairs_6_7,1383.708583,10460.015251
26,11856000,roformer_layer_pairs_8_9,1378.587584,10460.015251
26,11856000,roformer_layer_pairs_10_11,1388.047125,10460.015251
26,11856000,tail_pipeline,2084.666917,10460.015251
27,12312000,first_2_segments,1444.987125,11374.212376000001
27,12312000,roformer_layer_pairs_2_3,1424.096792,11374.212376000001
27,12312000,roformer_layer_pairs_4_5,1432.895792,11374.212376000001
27,12312000,roformer_layer_pairs_6_7,1413.951583,11374.212376000001
27,12312000,roformer_layer_pairs_8_9,1379.756,11374.212376000001
27,12312000,roformer_layer_pairs_10_11,1412.963834,11374.212376000001
27,12312000,tail_pipeline,2865.56125,11374.212376000001
28,12768000,first_2_segments,1707.246958,11166.305792
28,12768000,roformer_layer_pairs_2_3,1646.575958,11166.305792
28,12768000,roformer_layer_pairs_4_5,1458.664334,11166.305792
28,12768000,roformer_layer_pairs_6_7,1414.90975,11166.305792
