chunk_index,start_sample,stage,stage_ms,chunk_total_ms
12,5472000,tail_pipeline,1368.099208,8051.775334
13,5928000,first_2_segments,1050.157834,8076.983791999999
13,5928000,roformer_layer_pairs_2_3,1119.927542,8076.983791999999
13,5928000,roformer_layer_pairs_4_5,1067.496833,8076.983791999999
13,5928000,roformer_layer_pairs_6_7,1120.412625,8076.983791999999
13,5928000,roformer_layer_pairs_8_9,1125.315,8076.983791999999
13,5928000,roformer_layer_pairs_10_11,1125.909833,8076.983791999999
13,5928000,tail_pipeline,1467.764125,8076.983791999999
14,6384000,first_2_segments,1153.354875,8168.101374
14,6384000,roformer_layer_pairs_2_3,1123.810416,8168.101374
14,6384000,roformer_layer_pairs_4_5,1099.626542,8168.101374
14,6384000,roformer_layer_pairs_6_7,1132.669958,8168.101374
14,6384000,roformer_layer_pairs_8_9,1131.462583,8168.101374
14,6384000,roformer_layer_pairs_10_11,1134.175625,8168.101374
14,6384000,tail_pipeline,1393.001375,8168.101374
15,6840000,first_2_segments,1132.303458,8247.001417
15,6840000,roformer_layer_pairs_2_3,1110.436834,8247.001417
15,6840000,roformer_layer_pairs_4_5,1122.588833,8247.001417
15,6840000,roformer_layer_pairs_6_7,1124.036292,8247.001417
15,6840000,roformer_layer_pairs_8_9,1126.686667,8247.001417
15,6840000,roformer_layer_pairs_10_11,1125.777125,8247.001417
15,6840000,tail_pipeline,1505.172208,8247.001417
16,7296000,first_2_segments,1375.354833,8382.59025
16,7296000,roformer_layer_pairs_2_3,1140.732042,8382.59025
16,7296000,roformer_layer_pairs_4_5,1133.47175,8382.59025
16,7296000,roformer_layer_pairs_6_7,1138.516334,8382.59025
16,7296000,roformer_layer_pairs_8_9,1138.089875,8382.59025
16,7296000,roformer_layer_pairs_10_11,1134.450958,8382.59025
16,7296000,tail_pipeline,1321.974458,8382.59025
17,7752000,first_2_segments,1344.76975,8235.752458
17,7752000,roformer_layer_pairs_2_3,1125.952625,8235.752458
17,7752000,roformer_layer_pairs_4_5,1120.915416,8235.752458
17,7752000,roformer_layer_pairs_6_7,1124.421833,8235.752458
17,7752000,roformer_layer_pairs_8_9,1123.704875,8235.752458
17,7752000,roformer_layer_pairs_10_11,1118.998375,8235.752458
17,7752000,tail_pipeline,1276.989584,8235.752458
18,8208000,first_2_segments,1142.566583,8084.071166
18,8208000,roformer_layer_pairs_2_3,1125.832083,8084.071166
18,8208000,roformer_layer_pairs_4_5,1131.829959,8084.071166
18,8208000,roformer_layer_pairs_6_7,1175.413792,8084.071166
18,8208000,roformer_layer_pairs_8_9,1148.226583,8084.071166
18,8208000,roformer_layer_pairs_10_11,1133.509791,8084.071166
18,8208000,tail_pipeline,1226.692375,8084.071166
19,8664000,first_2_segments,1127.909959,8234.781334000001
19,8664000,roformer_layer_pairs_2_3,1114.5605,8234.781334000001
19,8664000,roformer_layer_pairs_4_5,1121.122875,8234.781334000001
19,8664000,roformer_layer_pairs_6_7,1245.777833,8234.781334000001
19,8664000,roformer_layer_pairs_8_9,1214.298792,8234.781334000001
19,8664000,roformer_layer_pairs_10_11,1188.726167,8234.781334000001
19,8664000,tail_pipeline,1222.385208,8234.781334000001
20,9120000,first_2_segments,1142.90475,8327.967499
20,9120000,roformer_layer_pairs_2_3,1135.625708,8327.967499
20,9120000,roformer_layer_pairs_4_5,1133.711166,8327.967499
20,9120000,roformer_layer_pairs_6_7,1233.970083,8327.967499
20,9120000,roformer_layer_pairs_8_9,1222.786917,8327.967499
20,9120000,roformer_layer_pairs_10_11,1161.050917,8327.967499
20,9120000,tail_pipeline,1297.917958,8327.967499
21,9576000,first_2_segments,1165.938875,8548.800917
21,9576000,roformer_layer_pairs_2_3,1227.579334,8548.800917
21,9576000,roformer_layer_pairs_4_5,1215.476167,8548.800917
21,9576000,roformer_layer_pairs_6_7,1192.006,8548.800917
21,9576000,roformer_layer_pairs_8_9,1228.873708,8548.800917
21,9576000,roformer_layer_pairs_10_11,1226.351917,8548.800917
21,9576000,tail_pipeline,1292.574916,8548.800917
22,10032000,first_2_segments,1195.858625,8882.584626000002
22,10032000,roformer_layer_pairs_2_3,1347.641583,8882.584626000002
22,10032000,roformer_layer_pairs_4_5,1376.318459,8882.584626000002
22,10032000,roformer_layer_pairs_6_7,1213.193458,8882.584626000002
22,10032000,roformer_layer_pairs_8_9,1224.76125,8882.584626000002
22,10032000,roformer_layer_pairs_10_11,1198.170667,8882.584626000002
22,10032000,tail_pipeline,1326.640584,8882.584626000002
23,10488000,first_2_segments,1350.991667,9140.610624
23,10488000,roformer_layer_pairs_2_3,1357.057916,9140.610624
23,10488000,roformer_layer_pairs_4_5,1359.197708,9140.610624
23,10488000,roformer_layer_pairs_6_7,1141.644208,9140.610624
23,10488000,roformer_layer_pairs_8_9,1335.39,9140.610624
23,10488000,roformer_layer_pairs_10_11,1272.471666,9140.610624
23,10488000,tail_pipeline,1323.857459,9140.610624
24,10944000,first_2_segments,1141.541042,8453.325165999999
24,10944000,roformer_layer_pairs_2_3,1228.694333,8453.325165999999
24,10944000,roformer_layer_pairs_4_5,1234.727042,8453.325165999999
24,10944000,roformer_layer_pairs_6_7,1162.174,8453.325165999999
24,10944000,roformer_layer_pairs_8_9,1184.384,8453.325165999999
24,10944000,roformer_layer_pairs_10_11,1178.219083,8453.325165999999
24,10944000,tail_pipeline,1323.585666,8453.325165999999
25,11400000,first_2_segments,1138.959666,9164.218626
25,11400000,roformer_layer_pairs_2_3,1328.617292,9164.218626
25,11400000,roformer_layer_pairs_4_5,1289.522875,9164.218626
25,11400000,roformer_layer_pairs_6_7,1268.017542,9164.218626
25,11400000,roformer_layer_pairs_8_9,1320.705625,9164.218626
25,11400000,roformer_layer_pairs_10_11,1299.926042,9164.218626
25,11400000,tail_pipeline,1518.469584,9164.218626
26,11856000,first_2_segments,1473.235917,10219.181999
26,11856000,roformer_layer_pairs_2_3,1363.912417,10219.181999
26,11856000,roformer_layer_pairs_4_5,1416.216125,10219.181999
26,11856000,roformer_layer_pairs_6_7,1481.407,10219.181999
26,11856000,roformer_layer_pairs_8_9,1379.814541,10219.181999
26,11856000,roformer_layer_pairs_10_11,1387.902541,10219.181999
26,11856000,tail_pipeline,1716.693458,10219.181999
27,12312000,first_2_segments,1594.040208,10259.124582999999
27,12312000,roformer_layer_pairs_2_3,1420.032458,10259.124582999999
27,12312000,roformer_layer_pairs_4_5,1378.477,10259.124582999999
27,12312000,roformer_layer_pairs_6_7,1371.944125,10259.124582999999
27,12312000,roformer_layer_pairs_8_9,1377.732542,10259.124582999999
27,12312000,roformer_layer_pairs_10_11,1388.425042,10259.124582999999
27,12312000,tail_pipeline,1728.473208,10259.124582999999
28,12768000,first_2_segments,1386.142833,10540.699874
28,12768000,roformer_layer_pairs_2_3,1374.529166,10540.699874
28,12768000,roformer_layer_pairs_4_5,1413.353209,10540.699874
28,12768000,roformer_layer_pairs_6_7,1402.292791,10540.699874
28,12768000,roformer_layer_pairs_8_9,1402.945708,10540.699874
28,12768000,roformer_layer_pairs_10_11,1407.551333,10540.699874
28,12768000,tail_pipeline,2153.884834,10540.699874
29,13224000,first_2_segments,1405.313333,10725.368833
29,13224000,roformer_layer_pairs_2_3,1531.642833,10725.368833
29,13224000,roformer_layer_pairs_4_5,1403.647042,10725.368833
29,13224000,roformer_layer_pairs_6_7,1388.760625,10725.368833
29,13224000,roformer_layer_pairs_8_9,1381.313416,10725.368833
29,13224000,roformer_layer_pairs_10_11,1385.979709,10725.368833
29,13224000,tail_pipeline,2228.711875,10725.368833
30,13262080,first_2_segments,1392.382834,11012.781084
30,13262080,roformer_layer_pairs_2_3,1382.153208,11012.781084
30,13262080,roformer_layer_pairs_4_5,1410.797583,11012.781084
30,13262080,roformer_layer_pairs_6_7,1578.55775,11012.781084
30,13262080,roformer_layer_pairs_8_9,1697.320125,11012.781084
30,13262080,roformer_layer_pairs_10_11,1548.645125,11012.781084
30,13262080,tail_pipeline,2002.924459,11012.781084
